lon,lat,infestation_percentage
108.7928293,34.88045565,0
108.9204755,34.80493181,0
108.9483217,35.10116167,0
108.888474,34.94743244,0
108.8884728,34.94742084,0
108.8884729,34.94742089,0
108.8231809,35.02030157,0
108.8352172,35.00160567,0
108.8351904,35.00162147,0
108.8464762,34.98925504,0
108.7925979,34.88036859,0
108.792854,34.8805071,0
108.7928153,34.88043054,0
108.7928293,34.88045565,0
108.7928414,34.88051164,0
108.7989712,34.89154756,0
108.7989712,34.89154756,0
114.274828,34.850803,0
114.2738183,34.85097962,0
108.070893,34.25930634,0
109.1844567,35.48805236,0
109.1849433,35.48834146,0
108.9928962,34.7409188,0
108.9965179,34.74159291,0
108.994028,34.7326319,0
108.9979969,34.74030422,0
108.9993305,34.74056774,0
109.0022209,34.7339326,0
109.0012097,34.74123601,0
107.8977199,34.47324138,0
109.0084372,34.74005243,0
109.0021753,34.74338794,0
107.8966388,34.47152681,0
109.0070158,34.74502614,0
109.0005532,34.74304277,0
108.9996129,34.74375271,0
109.0060328,34.74763189,0
107.8954636,34.46898239,0
108.9992983,34.743365,0
108.9988762,34.7426202,0
109.0003979,34.74815733,0
108.9966212,34.74215876,0
108.9996213,34.75261889,0
107.8931021,34.45815762,0
108.0711994,34.26173258,0
108.9590405,34.94821602,0
108.973615,34.75779667,0
108.9718643,34.74866517,0
108.9849679,34.72229257,0
108.9880439,34.72274295,0
108.9843686,34.71707143,0
108.969163,34.719619,0
108.9745278,34.72958918,0
108.9740891,34.73384409,0
108.974423,34.72954367,0
108.9680633,34.75707633,0
109.1850774,35.48732679,0
109.1850774,35.48732679,0
109.1844567,35.48805236,0
109.1849433,35.48834146,0
109.1921567,35.48633191,0
108.8889915,34.83530855,0
109.1797929,35.48535313,0
108.887106,34.84044662,0
109.1789577,35.4848617,0
108.9921973,34.73678434,0
109.1832062,35.4874106,0
108.9966409,34.75413613,0
109.1837766,35.48762916,0
108.8842916,34.83498581,0
108.992866,34.76131469,0
108.8843888,34.8355091,0
108.9830833,34.76157667,0
108.8889915,34.83530855,0
108.9833383,34.76668242,0
108.981328,34.77057749,0
108.9785066,34.77095431,0
108.9741383,34.76985,0
108.887106,34.84044662,0
