Occurrence Point,lon,lat
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.970825,35.06292
Valsa mali,108.96576,35.069572
Valsa mali,108.96559,35.07134
Valsa mali,108.971948,35.077739
Valsa mali,110.5683,35.16827
Valsa mali,110.61293,35.267723
Valsa mali,110.61293,35.267723
Valsa mali,110.61293,35.267723
Valsa mali,110.61293,35.267723
Valsa mali,110.50964,35.268826
Valsa mali,110.50964,35.268826
Valsa mali,110.50964,35.268826
Valsa mali,110.50964,35.268826
Valsa mali,110.498184,35.27365
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.54089,35.27874
Valsa mali,110.56014,35.279655
Valsa mali,110.51954,35.28358
Valsa mali,110.547844,35.301216
Valsa mali,110.547485,35.301926
Valsa mali,110.527374,35.302406
Valsa mali,110.527374,35.302406
Valsa mali,110.527374,35.302406
Valsa mali,110.527374,35.302406
Valsa mali,110.527374,35.302406
Valsa mali,110.51719,35.310738
Valsa mali,110.573425,35.312767
Valsa mali,110.524324,35.317446
Valsa mali,110.540835,35.329487
Valsa mali,105.770422,35.377254
Valsa mali,105.734146,35.435486
Valsa mali,110.82557,35.45105
Valsa mali,109.69702,35.674426
Valsa mali,109.58798,35.701912
Valsa mali,109.58798,35.701912
Valsa mali,109.58798,35.701912
Valsa mali,109.44243,35.737373
Valsa mali,109.55319,35.737488
Valsa mali,109.46975,35.749626
Valsa mali,109.46975,35.749626
Valsa mali,109.46975,35.749626
Valsa mali,109.46975,35.749626
Valsa mali,109.46975,35.749626
Valsa mali,109.46975,35.749626
Valsa mali,109.46975,35.749626
Valsa mali,109.46975,35.749626
Valsa mali,109.46975,35.749626
Valsa mali,109.44864,35.75595
Valsa mali,109.44864,35.75595
Valsa mali,109.44864,35.75595
Valsa mali,109.44864,35.75595
Valsa mali,109.44408,35.77339
Valsa mali,109.444824,35.787866
Valsa mali,107.739456,35.82702
Valsa mali,108.2174305,35.96439345
Valsa mali,109.5784596,35.96457891
Valsa mali,107.85101,35.984715
Valsa mali,107.545746,35.995335
Valsa mali,109.537451,35.995356
Valsa mali,107.98725,36.067112
Valsa mali,107.851121,36.089415
Valsa mali,110.35737,36.61924
Valsa mali,110.127674,36.847792
Valsa mali,110.07681,36.87656
Valsa mali,119.95742,37.187477
Valsa mali,120.75141,37.311123
Valsa mali,120.75909,37.315777
Valsa mali,110.39635,37.336967
Valsa mali,120.81172,37.3393
Valsa mali,120.81172,37.3393
Valsa mali,120.81172,37.3393
Valsa mali,120.82651,37.342625
Valsa mali,120.83792,37.379906
Valsa mali,110.34271,37.44453
Valsa mali,110.32404,37.453285
Valsa mali,110.32404,37.453285
Valsa mali,110.32404,37.453285
Valsa mali,110.32305,37.453625
Valsa mali,110.27416,37.50298
Valsa mali,110.27416,37.50298
Valsa mali,120.79515,37.545406
Valsa mali,110.44601,37.638645
Valsa mali,120.93021,37.657986
Valsa mali,120.53224,37.690422
Valsa mali,121.88591,39.195858
Valsa mali,121.778625,39.242299
Valsa mali,98.64422,39.808018
Valsa mali,127.02009,43.92364
